"sample_flow_rate"	"sample_volume"	"record_sample_volume"	"mixing_volume"	"mixing_speed"	"number_mixes"	"wash_volume"	"tube.name"	"plate.num"	"samp_id"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F9"	"Plate_002"	"170705-Plate_002.F9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F10"	"Plate_002"	"170705-Plate_002.F10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F11"	"Plate_002"	"170705-Plate_002.F11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"F12"	"Plate_002"	"170705-Plate_002.F12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G1"	"Plate_002"	"170705-Plate_002.G1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G2"	"Plate_002"	"170705-Plate_002.G2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G3"	"Plate_002"	"170705-Plate_002.G3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G4"	"Plate_002"	"170705-Plate_002.G4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G5"	"Plate_002"	"170705-Plate_002.G5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G6"	"Plate_002"	"170705-Plate_002.G6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G7"	"Plate_002"	"170705-Plate_002.G7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G8"	"Plate_002"	"170705-Plate_002.G8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G9"	"Plate_002"	"170705-Plate_002.G9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G10"	"Plate_002"	"170705-Plate_002.G10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G11"	"Plate_002"	"170705-Plate_002.G11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"G12"	"Plate_002"	"170705-Plate_002.G12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H1"	"Plate_002"	"170705-Plate_002.H1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H2"	"Plate_002"	"170705-Plate_002.H2"
